,C,Mn,Si,P,S,Cr,Cu,Ni,V,Ms:,Mf:,Ac1:,Ac3:,Austenitization Temp:,Austenitization Time:,Al,Ti,Mo,W,N,Grain Size:,Co,Ferrite_1_Time,Pearlite_1_Time,Bainite_1_Time
0.15% C- 0.67% Mn - 1.20% Cr - 0.31% V (SAE 6115),0.15,0.67,0.48,0.044,0.024,1.2,0.18,0.25,0.31,430.0,,750,870,920.0,300.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.9090702849231485,67.4166430283181,1.3074899403950677
0.20% C - 1.20% Mn - 0.97% Cu - 0.55% Ni,0.2,1.2,0.38,0.039,0.024,0.06,0.91,0.55,0.0,390.0,,700,795,870.0,300.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.5760172824488181,46.58999704757567,1.3542764208288902
0.30% C - 3.03% Ni (SAE 2330),0.3,0.51,0.32,0.011,0.007,0.07,0.0,3.03,0.0,340.0,,690,760,850.0,600.0,0.032,0.01,0.0,0.0,0.0,,0.0,0.5596276445319552,1.702520841179651,0.5969120746897806
0.48% C - 1.98% Mn,0.48,1.98,0.28,0.02,0.011,0.0,0.0,0.0,0.0,280.0,,720,760,850.0,420.0,0.0,0.0,0.0,0.0,0.0,,0.0,10.969420801161345,18.514356024063925,13.696972047431801
0.73% C - 1.62% Si (71 Si 7),0.73,0.73,1.62,0.019,0.012,0.1,0.19,0.12,0.01,210.0,,750,770,845.0,600.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.563947703262179,4.939480993737899,5.517702004499881
0.98% C - 1.84% Mn,0.98,1.84,0.08,0.023,0.011,0.0,0.0,0.0,0.0,120.0,,700,850,900.0,360.0,0.0,0.0,0.0,0.0,0.0,,0.0,26.543802275694453,32.645617273437495,35.34981105030106
100 Cr 6,1.04,0.33,0.26,0.023,0.006,1.53,0.2,0.31,0.01,240.0,20,750,790,860.0,900.0,0.0,0.0,0.01,0.0,0.0,,0.0,,11.71344160709404,9.973230480078769
101Cr6,0.95,0.25,0.15,0.0,0.0,1.35,0.0,0.0,0.0,170.0,,740,770,860.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,4.930997502990867,8.185467307069029
102Cr6,1.025,0.35,0.2,0.015,0.015,1.5,0.0,0.0,0.0,210.0,,735,770,830.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,4.049367015033748,8.304024956072512
105 WCr 6,1.03,0.97,0.28,0.016,0.018,1.05,0.25,0.13,0.0,250.0,20,720,780,815.0,900.0,0.0,0.0,0.03,1.15,0.0,,0.0,,4.99443784003733,5.589599291573126
